HOSTNAME,INTERFACES,BONDNAME,MODE,IP,NETMASK,GATEWAY,VLAN,DESCRIPTION
controller01.17-01.vm.qh,"eno1,eno2",bond0,4,172.17.1.1,255.255.255.0,172.17.1.254,112,OpenStack management network
controller02.17-02.vm.qh,"eno1,eno2",bond0,4,172.17.1.2,255.255.255.0,172.17.1.254,112,OpenStack management network
controller03.17-03.vm.qh,"eno1,eno2",bond0,4,172.17.1.3,255.255.255.0,172.17.1.254,112,OpenStack management network
node49.30-01.vm.qh,"eno1,eno2",bond0,4,172.17.1.4,255.255.255.0,172.17.1.254,112,OpenStack management network
node50.30-02.vm.qh,"eno1,eno2",bond0,4,172.17.1.5,255.255.255.0,172.17.1.254,112,OpenStack management network
node51.30-03.vm.qh,"eno1,eno2",bond0,4,172.17.1.6,255.255.255.0,172.17.1.254,112,OpenStack management network
node52.30-04.vm.qh,"eno1,eno2",bond0,4,172.17.1.7,255.255.255.0,172.17.1.254,112,OpenStack management network
node53.30-05.vm.qh,"eno1,eno2",bond0,4,172.17.1.8,255.255.255.0,172.17.1.254,112,OpenStack management network
node54.30-06.vm.qh,"eno1,eno2",bond0,4,172.17.1.9,255.255.255.0,172.17.1.254,112,OpenStack management network
node55.30-07.vm.qh,"eno1,eno2",bond0,4,172.17.1.10,255.255.255.0,172.17.1.254,112,OpenStack management network
node56.30-08.vm.qh,"eno1,eno2",bond0,4,172.17.1.11,255.255.255.0,172.17.1.254,112,OpenStack management network
node57.31-01.vm.qh,"eno1,eno2",bond0,4,172.17.1.12,255.255.255.0,172.17.1.254,112,OpenStack management network
node58.31-02.vm.qh,"eno1,eno2",bond0,4,172.17.1.13,255.255.255.0,172.17.1.254,112,OpenStack management network
node59.31-03.vm.qh,"eno1,eno2",bond0,4,172.17.1.14,255.255.255.0,172.17.1.254,112,OpenStack management network
node60.31-04.vm.qh,"eno1,eno2",bond0,4,172.17.1.15,255.255.255.0,172.17.1.254,112,OpenStack management network
node61.31-05.vm.qh,"eno1,eno2",bond0,4,172.17.1.16,255.255.255.0,172.17.1.254,112,OpenStack management network
node62.31-06.vm.qh,"eno1,eno2",bond0,4,172.17.1.17,255.255.255.0,172.17.1.254,112,OpenStack management network
node63.31-07.vm.qh,"eno1,eno2",bond0,4,172.17.1.18,255.255.255.0,172.17.1.254,112,OpenStack management network
node64.31-08.vm.qh,"eno1,eno2",bond0,4,172.17.1.19,255.255.255.0,172.17.1.254,112,OpenStack management network
node65.32-01.vm.qh,"eno1,eno2",bond0,4,172.17.1.20,255.255.255.0,172.17.1.254,112,OpenStack management network
node66.32-02.vm.qh,"eno1,eno2",bond0,4,172.17.1.21,255.255.255.0,172.17.1.254,112,OpenStack management network
node67.32-03.vm.qh,"eno1,eno2",bond0,4,172.17.1.22,255.255.255.0,172.17.1.254,112,OpenStack management network
node68.32-04.vm.qh,"eno1,eno2",bond0,4,172.17.1.23,255.255.255.0,172.17.1.254,112,OpenStack management network
node69.32-05.vm.qh,"eno1,eno2",bond0,4,172.17.1.24,255.255.255.0,172.17.1.254,112,OpenStack management network
node70.32-06.vm.qh,"eno1,eno2",bond0,4,172.17.1.25,255.255.255.0,172.17.1.254,112,OpenStack management network
node71.32-07.vm.qh,"eno1,eno2",bond0,4,172.17.1.26,255.255.255.0,172.17.1.254,112,OpenStack management network
node72.32-08.vm.qh,"eno1,eno2",bond0,4,172.17.1.27,255.255.255.0,172.17.1.254,112,OpenStack management network
node73.33-01.vm.qh,"eno1,eno2",bond0,4,172.17.1.28,255.255.255.0,172.17.1.254,112,OpenStack management network
